title		rating	imdb_rating	metacritic		production		imdb_votes			release_date	runtime	genre			Budget	Box Office Gross
Skyline		PG-13	4.4	26		Rogue Pictures/Universal Studios		"78,102"			12-Nov-10	97 min	"Action, Sci-Fi, Thriller"			10000000	21371425
Bluebird		N/A	5.8	67		Factory 25		661			27-Feb-15	90 min	Drama			0	0
The Voices		R	6.4	58		Lionsgate Films		"39,659"			6-Feb-15	103 min	"Comedy, Crime, Horror"			0	0
Man on a Ledge		PG-13	6.6	40		Summit Entertainment		"129,331"			27-Jan-12	102 min	"Action, Crime, Thriller"			42000000	18620000
The Humbling		R	5.6	59		Millennium Entertainment		"5,027"			23-Jan-15	112 min	"Comedy, Drama"			2000000	0
War Horse		PG-13	7.2	72		Walt Disney Pictures		"122,940"			25-Dec-11	146 min	"Drama, War"			66000000	79884879
The Secret World of Arrietty		G	7.6	80		Walt Disney Pictures		"58,302"			17-Feb-12	94 min	"Animation, Adventure, Family"			23000000	19202743
"Crazy, Stupid, Love."		PG-13	7.4	68		Warner Bros. Pictures		"396,655"			29-Jul-11	118 min	"Comedy, Drama, Romance"			50000000	84351197
Mortal Engines		N/A	N/A	N/A		N/A		N/A			14-Dec-18	N/A	Sci-Fi			100000000	0
The Skeleton Twins		R	6.8	74		Roadside Attractions		"33,530"			11-Sep-14	93 min	"Comedy, Drama, Romance"			5283379	0
Texas Chainsaw 3D		R	4.8	N/A		Lionsgate Films		"37,164"			4-Jan-13	92 min	"Horror, Thriller"			20000000	34341945
The Dilemma		PG-13	5.3	46		Universal Pictures		"45,181"			14-Jan-11	111 min	"Comedy, Drama"			70000000	48475290
A Birder's Guide to Everything		PG-13	6.3	61		Screen Media Ventures/Focus Features		"1,756"			21-Apr-13	86 min	Comedy			0	0
House at the End of the Street		PG-13	5.6	31		Relativity Media		"61,334"			21-Sep-12	101 min	"Drama, Horror, Thriller"			6900000	31611916
Larry Crowne		PG-13	6.1	41		Universal Pictures		"52,368"			1-Jul-11	98 min	"Comedy, Drama, Romance"			30000000	35608245
G.I. Joe: Retaliation		PG-13	5.8	41		Paramount Pictures		"152,066"			28-Mar-13	110 min	"Action, Adventure, Sci-Fi"			130000000	122523060
What to Expect When You're Expecting		PG-13	5.7	41		Lionsgate Films		"60,058"			18-May-12	110 min	"Comedy, Drama, Romance"			40000000	41152203
Maleficent		PG	7	56		Walt Disney Pictures		"269,413"			30-May-14	97 min	"Action, Adventure, Family"			180000000	241410378
Warm Bodies		PG-13	6.9	59		Lionsgate Films		"193,941"			1-Feb-13	98 min	"Comedy, Horror, Romance"			35000000	66380662
Easy Money II: Hard to Kill		N/A	6.2	57		Cinedigm		"5,897"			14-Feb-14	99 min	"Action, Crime, Drama"			0	0
The Late Bloomer		R	5.2	34		Warner Bros.		"3,848"			7-Oct-16	90 min	"Comedy, Drama, Romance"			3500000	0
The Commuter		N/A	N/A	N/A		StudioCanal		N/A			13-Oct-17	N/A	"Action, Thriller"			0	0
Act of Valor		R	6.5	40		Relativity Media		"60,086"			24-Feb-12	110 min	"Action, Adventure, Drama"			12000000	70012847
Maladies		N/A	5.2	28		Tribeca Film		556			29-Jun-12	96 min	Drama			1500000	0
Lockout		PG-13	6.1	48		FilmDistrict		"84,793"			13-Apr-12	95 min	"Action, Adventure, Sci-Fi"			20000000	14326864
Norm of the North		PG	3.7	21		Lionsgate		"6,331"			15-Jan-16	90 min	"Animation, Adventure, Comedy"			18000000	17017118
Fast Five		PG-13	7.3	66		Universal Pictures		"301,871"			29-Apr-11	131 min	"Action, Crime, Thriller"			125000000	209837675
Pawn Sacrifice		PG-13	7	65		Bleecker Street		"27,214"			25-Sep-15	115 min	"Biography, Drama, Sport"			19000000	2436062
Soul Surfer		PG	7.1	53		TriStar/FilmDistrict		"37,495"			8-Apr-11	112 min	"Biography, Drama, Family"			18000000	43853424
This Means War		PG-13	6.3	31		Twentieth Century Fox		"154,995"			17-Feb-12	103 min	"Action, Comedy, Romance"			65000000	54760791
The Big Short		R	7.8	81		Paramount Pictures		"249,083"			23-Dec-15	130 min	"Biography, Comedy, Drama"			28000000	70259870
The Woman in Black		PG-13	6.4	62		CBS Films		"150,566"			3-Feb-12	95 min	"Drama, Fantasy, Horror"			17000000	54333290
Z for Zachariah		PG-13	6	68		Roadside Attractions		"20,883"			28-Aug-15	98 min	"Drama, Sci-Fi, Thriller"			118483	0
Contagion		PG-13	6.6	70		Warner Bros.		"187,181"			9-Sep-11	106 min	"Drama, Thriller"			60000000	75658097
New Year's Eve		PG-13	5.7	22		Warner Bros.		"70,076"			9-Dec-11	113 min	"Comedy, Romance"			56000000	54544638
One for the Money		PG-13	5.3	22		Lionsgate Films		"35,671"			27-Jan-12	91 min	"Action, Comedy, Crime"			40000000	26414527
Safe House		R	6.8	52		Universal Pictures		"175,035"			10-Feb-12	115 min	"Action, Crime, Mystery"			85000000	126373434
Abduction		PG-13	5.1	25		Lionsgate Films		"67,385"			23-Sep-11	106 min	"Action, Mystery, Thriller"			35000000	28087155
The Grey		R	6.8	64		Open Road Films		"211,661"			27-Jan-12	117 min	"Action, Adventure, Drama"			25000000	51580136
Princess		N/A	6	85		N/A		280			27-May-16	92 min	Drama			0	0
Prom		PG	5.4	50		Walt Disney Pictures		"13,275"			29-Apr-11	104 min	"Comedy, Drama"			8000000	10130219
American Reunion		R	6.7	49		Universal Studios		"178,843"			6-Apr-12	113 min	Comedy			50000000	57011521
Botso		N/A	8.4	71		Cinema House Films		20			10-Oct-14	82 min	"Documentary, Music"			0	0
Frank		R	7	75		Magnolia Pictures		"60,878"			5-Sep-14	95 min	"Comedy, Drama, Music"			644906	0
Effie Gray		PG-13	5.9	54		Adopt Films		"2,484"			10-Oct-14	104 min	Drama			343257	0
A Good Day to Die Hard		R	5.3	28		20th Century Fox		"173,059"			14-Feb-13	98 min	"Action, Thriller"			92000000	67349198
The Vow		PG-13	6.8	43		Sony Pictures		"156,948"			10-Feb-12	104 min	"Drama, Romance"			30000000	125014030
Better Living Through Chemistry		NOT RATED	6.3	40		IDP/Samuel goldwyn Films		"12,006"			14-Mar-14	91 min	"Comedy, Drama"			5000000	72273
Can't Stand Losing You: Surviving the Police		NOT RATED	6.8	33		Cinema Libre Studio		316			23-Nov-13	79 min	"Documentary, Biography, History"			23193	0
Chuck		R	6.8	68		IFC Films		430			5-May-17	98 min	"Biography, Drama, Sport"			320725	0
Abraham Lincoln: Vampire Hunter		R	5.9	42		20th Century Fox		"133,410"			22-Jun-12	105 min	"Action, Fantasy, Horror"			69000000	37519139
Savages		R	6.5	59		Universal Pictures		"107,970"			6-Jul-12	131 min	"Crime, Drama, Thriller"			45000000	47382068
The Foreigner		N/A	N/A	N/A		N/A		N/A			13-Oct-17	N/A	"Action, Thriller"			35000000	0
Alvin and the Chipmunks: Chipwrecked		G	4.4	24		20th Century Fox		"24,278"			16-Dec-11	87 min	"Animation, Adventure, Comedy"			75000000	133110742
Jupiter Ascending		PG-13	5.3	40		Warner Bros. Pictures		"150,209"			6-Feb-15	127 min	"Action, Adventure, Sci-Fi"			176000000	47387723
A Wrinkle in Time		N/A	N/A	N/A		Walt Disney Pictures		N/A			9-Mar-18	N/A	"Adventure, Family, Fantasy"			103000000	0
Free Birds		PG	5.9	38		Relativity Media		"19,063"			1-Nov-13	91 min	"Animation, Adventure, Comedy"			55000000	55750480
Think Like a Man		PG-13	6.6	51		Sony Screen Gems		"36,224"			20-Apr-12	122 min	"Comedy, Romance"			12000000	91547205
Cesar Chavez		PG-13	6.4	51		Pantelion Films		"2,685"			28-Mar-14	102 min	"Biography, Drama"			10000000	5550866
30 Minutes or Less		R	6.1	49		Sony Pictures		"81,199"			12-Aug-11	83 min	"Action, Comedy, Crime"			28000000	37053924
Final Destination 5		R	5.9	50		Warner Bros.		"88,260"			12-Aug-11	92 min	"Horror, Thriller"			40000000	42587643
Oz the Great and Powerful		PG	6.3	44		Walt Disney Pictures		"181,532"			8-Mar-13	130 min	"Adventure, Family, Fantasy"			215000000	234911825
Young Adult		R	6.3	71		Paramount Studios		"67,191"			16-Dec-11	94 min	"Comedy, Drama"			12000000	16311571
Hector and the Search for Happiness		R	7	29		Relativity Media		"36,153"			14-Aug-14	114 min	"Adventure, Comedy, Drama"			1121961	0
Independence Day: Resurgence		PG-13	5.3	32		20th Century Fox		"129,497"			24-Jun-16	120 min	"Action, Adventure, Sci-Fi"			165000000	103144286
Careful What You Wish For		R	5.6	32		N/A		"4,961"			6-May-15	91 min	"Drama, Thriller"			8000000	0
Miss Lovely		N/A	6.7	52		Dada Films		"2,519"			20-Jun-14	113 min	"Crime, Drama, Romance"			0	0
Chasing Mavericks		PG	7.2	45		20th Century Fox		"26,492"			26-Oct-12	116 min	"Biography, Drama, Sport"			20000000	6002756
Avatar 2		N/A	N/A	N/A		20th Century Fox		N/A			18-Dec-20	N/A	"Action, Adventure, Fantasy"			0	0
Edge of Tomorrow		PG-13	7.9	71		Warner Bros. Pictures		"471,885"			6-Jun-14	113 min	"Action, Adventure, Sci-Fi"			178000000	100206256
Friends with Benefits		R	6.6	63		Sony/Screen Gems		"286,613"			22-Jul-11	109 min	"Comedy, Romance"			35000000	55802754
Missing William		PG	6.3	N/A		Freestyle Releasing		384			7-Mar-14	90 min	Drama			3000000	0
Shark Night 3D		PG-13	4	22		Relativity Media		"21,538"			2-Sep-11	90 min	"Horror, Thriller"			25000000	18872522
Johnny English Reborn		PG	6.3	46		Universal Pictures		"94,177"			21-Oct-11	101 min	"Action, Adventure, Comedy"			45000000	8305970
Project X		R	6.7	48		Warner Bros. Pictures		"164,595"			2-Mar-12	88 min	Comedy			12000000	54731865
In Time		PG-13	6.7	53		20th Century Fox		"318,971"			28-Oct-11	109 min	"Action, Sci-Fi, Thriller"			40000000	37520095
Our Idiot Brother		R	6.4	60		The Weinstein Company		"77,275"			26-Aug-11	90 min	"Comedy, Drama"			5000000	24814830
Ted		R	7	62		Universal Pictures		"495,954"			29-Jun-12	106 min	"Comedy, Fantasy"			50000000	218815487
"Love, Rosie"		R	7.2	44		Film Arcade		"80,966"			22-Oct-14	102 min	"Comedy, Romance"			14893	0
The Man from U.N.C.L.E.		PG-13	7.3	56		Warner Bros. Pictures		"204,336"			14-Aug-15	116 min	"Action, Adventure, Comedy"			75000000	45445109
Jumping the Broom		PG-13	5.7	56		Sony Pictures		"8,308"			6-May-11	112 min	"Comedy, Drama"			6600000	37295394
Louder Than Words		PG-13	6	29		Arc Entertainment		875			1-Jul-14	95 min	"Drama, Family"			0	0
Skin Trade		R	5.7	39		Magnet Releasing		"5,922"			23-Apr-15	96 min	"Action, Crime, Thriller"			9000000	1242
The Dictator		R	6.4	58		Paramount Pictures		"225,886"			16-May-12	83 min	Comedy			65000000	59650222
How to Train Your Dragon 2		PG	7.9	76		20th Century Fox		"237,855"			13-Jun-14	102 min	"Animation, Action, Adventure"			145000000	177002924
Million Dollar Arm		PG	7	56		Walt Disney Pictures		"37,651"			16-May-14	124 min	"Biography, Drama, Sport"			25000000	36447959
Here Comes the Boom		PG	6.4	40		Sony/Columbia Pictures		"76,747"			12-Oct-12	105 min	"Action, Comedy, Sport"			42000000	45290318
The Dark Tower		N/A	N/A	N/A		Sony Pictures		N/A			4-Aug-17	N/A	"Action, Adventure, Fantasy"			60000000	41673047
Diary of a Wimpy Kid: Rodrick Rules		PG	6.6	51		20th Century Fox		"20,287"			25-Mar-11	99 min	"Comedy, Family"			21000000	52698535
Super 8		PG-13	7.1	72		Paramount Pictures		"298,928"			10-Jun-11	112 min	"Mystery, Sci-Fi, Thriller"			50000000	127004179
Goodbye Christoper Robin		N/A	N/A	N/A		Pinewood Films		N/A			N/A	N/A	"Biography, Family, History"			0	0
The Age of Adaline		PG-13	7.2	51		Lionsgate		"112,999"			24-Apr-15	112 min	"Drama, Fantasy, Romance"			25000000	42478175
Wanderlust		R	5.6	53		Universal Pictures		"64,619"			24-Feb-12	98 min	Comedy			17225675	0
Wild Oats		PG-13	5.6	N/A		The Weinstein Company		"1,593"			16-Sep-16	86 min	"Action, Adventure, Comedy"			10000000	40598
Safe		R	6.5	55		Lionsgate Films		"88,115"			27-Apr-12	94 min	"Action, Crime, Thriller"			30000000	17142080
Gimme Shelter		PG-13	6.5	37		Roadside Attractions		"6,930"			29-Oct-14	101 min	Drama			3300000	1359563
Freeheld		PG-13	6.5	50		Summit Entertainment		"8,241"			5-Nov-15	103 min	"Biography, Drama, Romance"			7000000	532988
The Perks of Being a Wallflower		PG-13	8	67		Lionsgate Films		"378,382"			12-Oct-12	102 min	"Drama, Romance"			13000000	17738570
Cinderella		PG	7	67		Walt Disney Pictures		"117,453"			13-Mar-15	105 min	"Drama, Family, Fantasy"			95000000	201151353
Their Finest		R	6.9	76		EuropaCorp / STXfilms		"4,133"			7-Apr-17	117 min	"Comedy, Drama, Romance"			0	"EU10,000,000"
Grudge Match		PG-13	6.4	35		Warner Bros. Pictures		"49,249"			25-Dec-13	113 min	"Comedy, Drama, Sport"			40000000	29807260
Cut Bank		R	6	44		A24		"8,132"			3-Apr-15	93 min	Thriller			5000000	0
Fun Size		PG-13	5.4	37		Paramount Pictures		"11,840"			26-Oct-12	86 min	"Adventure, Comedy"			14000000	9402410
Life of Crime		R	5.8	60		Roadside Atrractions		"13,841"			29-Aug-14	98 min	"Comedy, Crime"			12000000	261695
Martyrs		NOT RATED	4	19		N/A		"3,434"			22-Jan-16	86 min	"Drama, Horror, Thriller"			1000000	0
Pacific Rim		PG-13	7	64		Warner Bros. Pictures		"401,967"			12-Jul-13	131 min	"Action, Adventure, Sci-Fi"			190000000	101802906
All Eyez on Me		R	N/A	N/A		SUMMIT/CODEBLACK FILMS/LIONSGATE		N/A			16-Jun-17	139 min	"Biography, Drama, Music"			44922302	0
Vampires Suck		PG-13	3.5	18		20th Century Fox		"40,567"			18-Aug-10	82 min	Comedy			20000000	36661504
The Calling		R	5.8	46		Vertical Entertainment		"6,513"			5-Aug-14	108 min	Thriller			0	0
The DUFF		PG-13	6.5	56		Lionsgate Films		"58,162"			20-Feb-15	101 min	Comedy			8500000	34017854
Mirror Mirror		PG	5.6	46		Relativity Media		"73,809"			30-Mar-12	106 min	"Adventure, Comedy, Drama"			85000000	64935167
Ice Age: Continental Drift		PG	6.6	49		20th Century Fox		"155,032"			13-Jul-12	88 min	"Animation, Adventure, Comedy"			95000000	161321843
Now You See Me		PG-13	7.3	50		Lionsgate Films		"494,158"			31-May-13	115 min	"Crime, Mystery, Thriller"			75000000	117723989
Six Dance Lessons in Six Weeks		N/A	6.5	50		Dada Films		119			12-Dec-14	107 min	"Comedy, Drama"			73613	0
The Twilight Saga: Breaking Dawn - Part 2		PG-13	5.5	52		Lionsgate/Summit Entertainment		"194,310"			16-Nov-12	115 min	"Adventure, Drama, Fantasy"			120000000	292298923
Entourage		R	6.6	38		Warner Bros. Pictures		"64,622"			3-Jun-15	104 min	Comedy			30000000	32361416
DRUNK STONED BRILLIANT DEAD: The Story of the National Lampoon		N/A	7.1	74		Magnolia Pictures		"1,289"			25-Sep-15	98 min	"Documentary, Biography, Comedy"			62684	0
Ready Player One		N/A	N/A	N/A		Warner Bros. Pictures		N/A			30-Mar-18	N/A	"Action, Sci-Fi, Thriller"			0	0
Trolls		PG	6.5	56		DreamWorks Animation		"39,897"			4-Nov-16	92 min	"Animation, Adventure, Comedy"			125000000	153707064
The Algerian		N/A	6.6	N/A		Hannover House		112			7-Aug-15	99 min	"Action, Romance, Thriller"			1300000	0
De Palma		R	7.4	83		Empire Ward		"2,772"			23-Sep-16	110 min	"Documentary, Biography"			163359	0
Creature		R	3.7	31		Independent Pictures		"2,599"			9-Sep-11	93 min	Horror			3000000	327000
Hard Labor		N/A	6.6	55		Dezenove Som e Imagens		371			30-Oct-15	99 min	"Drama, Horror"			0	0
Vampire Academy		PG-13	5.6	30		The Weinstein Company		"44,280"			7-Feb-14	104 min	"Action, Comedy, Fantasy"			30000000	7791146
Despicable Me 2		PG	7.4	62		Universal Pictures		"305,806"			3-Jul-13	98 min	"Animation, Adventure, Comedy"			76000000	368061265
David Lynch: The Art Life		N/A	7.2	75		N/A		984			20-Apr-17	88 min	"Documentary, Biography"			169517	0
Return to the Hiding Place		PG-13	4.8	N/A		Hammond Entertainment		608			23-May-14	102 min	"Drama, History, Thriller"			0	0
Before I Fall		PG-13	6.4	58		Open Road Films		"7,177"			3-Mar-17	98 min	"Drama, Mystery"			5000000	12230791
Planes		PG	5.8	39		Walt Disney Pictures		"36,690"			9-Aug-13	91 min	"Animation, Adventure, Comedy"			50000000	90288712
The Guilt Trip		PG-13	5.8	50		Paramount Pictures		"31,541"			19-Dec-12	95 min	"Comedy, Drama"			40000000	37134215
"Alexander and the Terrible, Horrible, No Good, Very Bad Day"		PG	6.2	54		Walt Disney Pictures		"32,443"			10-Oct-14	81 min	"Comedy, Family"			28000000	66954149
Champs		N/A	7.3	59		Amplify Releasing		"1,500"			13-Mar-15	91 min	"Documentary, Biography, Sport"			0	0
Catching the Sun		N/A	7.3	N/A		N/A		350			1-Apr-16	75 min	"Documentary, Drama, History"			0	0
Sausage Party		R	6.3	66		Sony Pictures		"120,656"			12-Aug-16	89 min	"Animation, Adventure, Comedy"			19000000	97661826
The Invisible Woman		R	6.1	75		Sony Pictures Classics		"7,642"			21-Feb-14	111 min	"Biography, Drama, History"			1234254	0
Justin Bieber: Never Say Never		G	1.6	52		Paramount Pictures		"74,575"			11-Feb-11	105 min	"Documentary, Music"			13000000	73013910
Genius		PG-13	6.5	56		Riverstone Pictures		"10,753"			10-Jun-16	104 min	"Biography, Drama"			1358018	0
From the Rough		PG	6.9	N/A		Freestyle Releasing		673			25-Apr-14	97 min	"Drama, Sport"			6500000	0
Chronicle		PG-13	7.1	69		20th Century Fox		"213,740"			3-Feb-12	84 min	"Sci-Fi, Thriller"			12000000	64575175
Every Secret Thing		R	6.1	46		Starz Digital Media		"4,883"			20-Apr-14	93 min	"Crime, Drama, Mystery"			0	0
Snowpiercer		R	7	84		Radius-TWC		"200,269"			11-Jul-14	126 min	"Action, Drama, Sci-Fi"			39200000	4563650
The Girl Is in Trouble		N/A	4.9	55		eOne Entertainment		721			3-Apr-15	90 min	"Action, Crime, Thriller"			0	0
Every Thing Will Be Fine		NOT RATED	5.5	32		Neue Road Movies		"4,464"			2-Apr-15	118 min	Drama			0	0
Joyful Noise		PG-13	5.7	44		Warner Bros. Pictures		"6,922"			13-Jan-12	118 min	"Comedy, Drama, Music"			25000000	30920167
21 & Over		R	5.9	34		Relativity Media		"63,727"			1-Mar-13	93 min	Comedy			13000000	25682380
Office Christmas Party		R	5.8	42		Paramount Pictures		"31,506"			9-Dec-16	105 min	Comedy			45000000	54730514
Alex Cross		PG-13	5.1	30		Summit		"29,361"			19-Oct-12	101 min	"Action, Crime, Mystery"			35000000	25888412
Triple 9		R	6.3	52		Open Road Films		"49,172"			26-Feb-16	115 min	"Action, Crime, Drama"			20000000	12626905
Glass Chin		N/A	5.5	64		Entertainment One Films		657			26-Jun-15	87 min	"Drama, Thriller"			1000000	0
Only Lovers Left Alive		R	7.3	79		Sony Pictures Classics		"68,567"			25-Dec-13	123 min	"Comedy, Drama, Horror"			7000000	1879534
Gimme Danger		R	7.2	72		Low Mind Films		"2,338"			5-Aug-16	108 min	"Documentary, Music"			439748	0
Anna		R	6.5	42		Vertical Entertainment		"16,346"			6-Jun-14	99 min	"Drama, Mystery, Thriller"			7000000	4288
The Discoverers		N/A	5.6	62		Quadratic Media		398			16-May-14	104 min	Comedy			50020	0
People Like Us		PG-13	7.1	49		Dreamworks Pictures		"35,800"			29-Jun-12	114 min	"Comedy, Drama"			16000000	12412386
Friends with Kids		R	6.2	55		Roadside Attractions		"37,335"			16-Mar-12	107 min	"Comedy, Drama, Romance"			10000000	7250054
We're the Millers		R	7	44		Warner Bros. Pictures		"336,033"			7-Aug-13	110 min	"Comedy, Crime"			37000000	150394119
Being Canadian		N/A	6.2	N/A		Candy Factory Films		544			18-Sep-15	90 min	"Documentary, Comedy"			0	0
London Town		R	6.3	46		Dutch Tilt Film		804			7-Oct-16	92 min	"Drama, Music"			0	0
Beyond Outrage		R	6.7	53		Magnet Releasing		"4,037"			6-Oct-12	112 min	"Action, Crime, Drama"			0	0
Innocence		PG-13	4.6	26		Abramorama Entertainment		808			11-Jan-16	96 min	"Adventure, Fantasy, Horror"			294039	0
Before I Go to Sleep		R	6.3	41		Clarius Entertainment		"54,947"			31-Oct-14	92 min	"Drama, Mystery, Thriller"			22000000	2963012
The Way Way Back		PG-13	7.4	68		Fox Searchlight		"121,916"			26-Jul-13	103 min	"Comedy, Drama"			5000000	21501098
Absolutely Anything		R	6	31		Atlas Distribution		"26,730"			12-May-17	85 min	"Comedy, Sci-Fi"			0	0
Scouts Guide to the Zombie Apocalypse		R	6.3	32		Broken Road Productions		"31,710"			30-Oct-15	93 min	"Action, Comedy, Horror"			15000000	3635292
Bohemian Rhapsody		N/A	N/A	N/A		N/A		N/A			25-Dec-18	N/A	"Biography, Drama, Music"			0	0
Rubble Kings		N/A	7.1	62		Saboteur Media		828			23-Oct-10	71 min	"Documentary, Music"			0	0
Ender's Game		PG-13	6.7	51		Summit Entertainment		"194,407"			1-Nov-13	114 min	"Action, Sci-Fi"			110000000	61737191
Barely Lethal		PG-13	5.3	44		A24 Films		"13,547"			30-Apr-15	96 min	"Action, Adventure, Comedy"			0	0
Pixies		PG	5.7	N/A		Vertical Entertainment		"1,470"			5-Jun-15	78 min	"Animation, Comedy"			0	0
Snow White and the Huntsman		PG-13	6.1	57		Universal Pictures		"239,915"			1-Jun-12	127 min	"Action, Adventure, Drama"			170000000	155332381
The Adderall Diaries		R	5.2	42		N/A		"2,476"			10-Mar-16	87 min	"Crime, Drama, Thriller"			11287	0
Secret in Their Eyes		PG-13	6.2	45		STX Entertainment		"27,862"			20-Nov-15	111 min	"Crime, Drama, Mystery"			19500000	20180155
Jersey Boys		R	6.8	54		Warner Bros. Pictures		"27,184"			20-Jun-14	134 min	"Biography, Drama, Music"			40000000	47034272
Sabotage		R	5.7	41		Open Road Films		"50,250"			28-Mar-14	109 min	"Action, Crime, Drama"			35000000	10508518
I Don't Know How She Does It		PG-13	4.9	38		The Weinstein Co.		"17,159"			16-Sep-11	89 min	"Comedy, Romance"			24000000	9659074
Gore Vidal: The United States of Amnesia		NOT RATED	7.8	72		IFC Films		953			1-Feb-15	83 min	"Documentary, Biography, History"			127743	0
The Tribe		UNRATED	7.1	78		Drafthouse Films		"7,711"			11-Sep-14	126 min	"Crime, Drama"			150564	0
Blood Ties		R	6.5	45		Roadside Attractions		"15,829"			30-Oct-13	127 min	"Crime, Drama, Thriller"			25500000	41229
Moonrise Kingdom		PG-13	7.8	84		Focus Features		"254,742"			29-Jun-12	94 min	"Adventure, Comedy, Drama"			16000000	45512466
The Collection		R	6.1	36		LD Entertainment		"37,935"			30-Nov-12	82 min	Horror			10000000	6842058
The Little Prince		PG	7.8	70		Netflix		"39,574"			5-Aug-16	108 min	"Animation, Adventure, Drama"			81200000	1339152
Avatar 3		N/A	N/A	N/A		20th Century Fox		N/A			17-Dec-21	N/A	"Action, Adventure, Drama"			0	0
The Snowman		N/A	N/A	N/A		Working Title Films		N/A			20-Oct-17	N/A	"Crime, Drama, Mystery"			0	0
This Is 40		R	6.2	59		Universal Studios		"108,220"			21-Dec-12	134 min	"Comedy, Romance"			35000000	67544505
Persecuted		PG-13	3.6	11		Millennium Entertainment		"1,319"			18-Jul-14	91 min	"Action, Drama, Mystery"			1500000	1557494
Walking with Dinosaurs 3D		PG	5.2	37		20th Century Fox		"9,386"			20-Dec-13	87 min	"Animation, Adventure, Family"			80000000	36076121
Killing Them Softly		R	6.2	64		The Weinstein Co.		"116,150"			30-Nov-12	97 min	"Crime, Thriller"			15000000	15026056
The Expendables 2		R	6.6	51		Lionsgate		"257,712"			17-Aug-12	103 min	"Action, Adventure, Thriller"			100000000	85017401
Odd Thomas		N/A	6.9	45		RLJ/Image Entertainment		"38,481"			28-Feb-14	97 min	"Comedy, Fantasy, Horror"			27000000	0
She's Funny That Way		R	6.1	45		Lionsgate Premiere		"19,156"			21-Aug-15	93 min	Comedy			88460	0
Silent House		R	5.3	49		Open Road Films		"19,246"			9-Mar-12	86 min	"Drama, Horror, Mystery"			2000000	12555230
The Curse of Downers Grove		N/A	4.5	31		Anchor Bay Entertainment		"1,327"			21-Aug-15	89 min	"Drama, Horror, Mystery"			2000000	0
Stonehearst Asylum		PG-13	6.8	52		Millenium Entertainment		"39,203"			24-Oct-14	112 min	"Drama, Horror, Mystery"			0	0
Danny Collins		R	7	58		Bleecker Street Films		"23,740"			10-Apr-15	106 min	"Comedy, Drama, Music"			10000000	5348317
Wreck-It Ralph		PG	7.8	72		Walt Disney Pictures		"290,872"			2-Nov-12	101 min	"Animation, Adventure, Comedy"			165000000	189422889
50 to 1		PG-13	6.5	37		Ten Furlongs LLC.		"1,501"			21-Mar-14	110 min	Drama			10000000	1063723
Paranormal Activity 3		R	5.8	59		Paramount Pictures		"79,793"			21-Oct-11	83 min	Horror			5000000	104007828
The Culture High		N/A	8.3	37		Eone Films		"3,176"			17-Oct-14	120 min	"Documentary, News"			0	0
Manny		PG-13	7.2	35		Gravitas Ventures		"1,998"			23-Jan-15	88 min	"Documentary, Biography, Sport"			0	0
Clown		R	5.7	42		"Dimension Films, Anchor Bay Entertainment"		"14,650"			17-Jun-16	100 min	"Horror, Thriller"			1500000	55007
Wilson		R	5.8	49		Fox Searchlight		"1,821"			24-Mar-17	94 min	"Comedy, Drama"			652997	0
No Escape		R	6.8	38		The Weinstein Company		"58,223"			26-Aug-15	103 min	"Action, Thriller"			16200000	27285953
Madea's Big Happy Family		PG-13	4.6	45		Lionsgate		"6,369"			22-Apr-11	106 min	"Comedy, Drama"			25000000	53345287
The Maze Runner		PG-13	6.8	57		20th Century Fox		"336,184"			19-Sep-14	113 min	"Action, Mystery, Sci-Fi"			34000000	102427862
Zero Dark Thirty		R	7.4	95		Columbia Pictures		"227,296"			11-Jan-13	157 min	"Drama, History, Thriller"			40000000	95720716
The Campaign		R	6.2	50		Warner Bros. Pictures		"110,747"			10-Aug-12	85 min	Comedy			95000000	86907746
Inherent Vice		R	6.7	81		Warner Bros. Pictures		"69,505"			9-Jan-15	148 min	"Comedy, Crime, Drama"			20000000	8110975
Treehouse		N/A	3.8	N/A		Uncork'd Entertainment		"1,685"			25-Jun-15	96 min	"Horror, Mystery, Thriller"			3250000	3250000
While We're Young		R	6.3	77		A24		"34,084"			17-Apr-15	97 min	"Comedy, Drama, Mystery"			10000000	7574066
Cirque du Soleil: Worlds Away		PG	6.8	51		Paramount Pictures		"7,323"			21-Dec-12	91 min	Fantasy			12495865	0
Rudderless		R	7.5	52		Samuel Goldwyn		"14,490"			21-Feb-15	105 min	"Comedy, Drama, Music"			5000000	37440
Bad Santa 2		R	5.5	38		Miramax/Broad Green		"10,833"			23-Nov-16	92 min	"Comedy, Crime, Drama"			26000000	17664973
Southpaw		R	7.4	57		The Weinstein Company		"170,754"			24-Jul-15	124 min	"Drama, Sport"			30000000	52421953
Her		R	8	90		Warner Bros. Pictures		"393,292"			10-Jan-14	126 min	"Drama, Romance, Sci-Fi"			23000000	25568251
American Hustle		R	7.3	90		Sony Pictures		"380,347"			20-Dec-13	138 min	"Crime, Drama"			40000000	150117807
That Awkward Moment		R	6.2	36		Focus Features		"81,740"			31-Jan-14	94 min	"Comedy, Romance"			8000000	26049082
Step Up Revolution		PG-13	6.5	43		Summit Entertainment		"47,621"			27-Jul-12	99 min	"Drama, Music, Romance"			33000000	35074677
The Human Experiment		N/A	6.7	44		Area 23a		516			17-Apr-15	91 min	Documentary			0	0
